FROM,TO,TRIPS
Pinellas South,Oldsmar Ind Area,588
Pinellas South,Pasco,5999
Pinellas South,Pinellas Beaches,28977
Pinellas South,Pinellas Central,66432
Pinellas South,Pinellas North,3878
Pinellas South,Pinellas North Central,18171
Pinellas South,Pinellas South,759715
Pinellas South,St Petersburg Clearwater Area,782
Pinellas South,Tarpon Springs Area,95
Pinellas South,Tyrone Square Area,13893
St Petersburg Clearwater Area,Clearwater Dwntwn,19
St Petersburg Clearwater Area,Clearwater Mall,4
St Petersburg Clearwater Area,Countryside Mall,10
St Petersburg Clearwater Area,Dwntwn USF Albert Whitted Airport,51
St Petersburg Clearwater Area,External,237
St Petersburg Clearwater Area,Gateway Area,106
St Petersburg Clearwater Area,Grand Central Area,0
St Petersburg Clearwater Area,Hernando  Citrus,46
St Petersburg Clearwater Area,Hillsborough,567
St Petersburg Clearwater Area,Manatee Spur,86
St Petersburg Clearwater Area,Mid-Cnty Ind Area,708
St Petersburg Clearwater Area,Oldsmar Ind Area,1
St Petersburg Clearwater Area,Pasco,260
St Petersburg Clearwater Area,Pinellas Beaches,146
St Petersburg Clearwater Area,Pinellas Central,1159
St Petersburg Clearwater Area,Pinellas North,157
St Petersburg Clearwater Area,Pinellas North Central,567
St Petersburg Clearwater Area,Pinellas South,782
St Petersburg Clearwater Area,St Petersburg Clearwater Area,273
St Petersburg Clearwater Area,Tarpon Springs Area,1
St Petersburg Clearwater Area,Tyrone Square Area,3
Tarpon Springs Area,Clearwater Dwntwn,22
Tarpon Springs Area,Clearwater Mall,1
Tarpon Springs Area,Countryside Mall,23
Tarpon Springs Area,Dwntwn USF Albert Whitted Airport,1
Tarpon Springs Area,External,136
Tarpon Springs Area,Gateway Area,4
Tarpon Springs Area,Grand Central Area,1
Tarpon Springs Area,Hernando  Citrus,82
Tarpon Springs Area,Hillsborough,305
Tarpon Springs Area,Manatee Spur,1
Tarpon Springs Area,Mid-Cnty Ind Area,33
Tarpon Springs Area,Oldsmar Ind Area,8
Tarpon Springs Area,Pasco,2059
Tarpon Springs Area,Pinellas Beaches,96
Tarpon Springs Area,Pinellas Central,140
Tarpon Springs Area,Pinellas North,4456
Tarpon Springs Area,Pinellas North Central,525
Tarpon Springs Area,Pinellas South,95
Tarpon Springs Area,St Petersburg Clearwater Area,1
Tarpon Springs Area,Tarpon Springs Area,836
Tarpon Springs Area,Tyrone Square Area,3
