FROM,TO,TRIPS
Pasco,Apollo Beach  Ruskin,0
Pasco,CZ2,71
Pasco,CZ4,0
Pasco,Citrus Park,279
Pasco,Downtown,15434
Pasco,East Town,1448
Pasco,External,0
Pasco,Gibsonton,149
Pasco,Harney Canal,160
Pasco,Hernando  Citrus,0
Pasco,MacDill AFB,2435
Pasco,Manatee Spur,0
Pasco,NE Hilsborough,21410
Pasco,NW Hilsborough,62347
Pasco,New Tampa,6199
Pasco,Pasco,0
Pasco,Pinellas,0
Pasco,Plant City Area,3423
Pasco,Port of Tampa  50th St Corridor,3067
Pasco,SE Hillsborough,6007
Pasco,SW Hillsborough,4855
Pasco,TPA  Anderson Rd,9022
Pasco,Tampa Central,28891
Pasco,USF  Hosp  Busch,9122
Pasco,West Brandon,2267
Pasco,Westshore  Rocky Point,9032
Pinellas,Apollo Beach  Ruskin,3564
Pinellas,CZ2,100
Pinellas,CZ4,1704
Pinellas,Citrus Park,3720
Pinellas,Downtown,12140
Pinellas,East Town,866
Pinellas,External,0
Pinellas,Gibsonton,1030
Pinellas,Harney Canal,1324
Pinellas,Hernando  Citrus,0
Pinellas,MacDill AFB,576
Pinellas,Manatee Spur,0
Pinellas,NE Hilsborough,4828
Pinellas,NW Hilsborough,68993
Pinellas,New Tampa,812
Pinellas,Pasco,0
Pinellas,Pinellas,0
Pinellas,Plant City Area,0
Pinellas,Port of Tampa  50th St Corridor,18416
Pinellas,SE Hillsborough,1170
Pinellas,SW Hillsborough,15438
Pinellas,TPA  Anderson Rd,31239
Pinellas,Tampa Central,23220
Pinellas,USF  Hosp  Busch,20811
Pinellas,West Brandon,1303
Pinellas,Westshore  Rocky Point,13428
Plant City Area,Apollo Beach  Ruskin,0
Plant City Area,CZ2,0
Plant City Area,CZ4,0
Plant City Area,Citrus Park,0
Plant City Area,Downtown,150
Plant City Area,East Town,0
Plant City Area,External,3961
Plant City Area,Gibsonton,0
Plant City Area,Harney Canal,0
Plant City Area,Hernando  Citrus,0
Plant City Area,MacDill AFB,0
Plant City Area,Manatee Spur,0
Plant City Area,NE Hilsborough,28046
Plant City Area,NW Hilsborough,0
Plant City Area,New Tampa,0
Plant City Area,Pasco,2422
Plant City Area,Pinellas,0
Plant City Area,Plant City Area,820
Plant City Area,Port of Tampa  50th St Corridor,0
Plant City Area,SE Hillsborough,483
Plant City Area,SW Hillsborough,0
Plant City Area,TPA  Anderson Rd,6
Plant City Area,Tampa Central,4469
Plant City Area,USF  Hosp  Busch,0
Plant City Area,West Brandon,0
Plant City Area,Westshore  Rocky Point,0
Port of Tampa  50th St Corridor,Apollo Beach  Ruskin,0
Port of Tampa  50th St Corridor,CZ2,0
Port of Tampa  50th St Corridor,CZ4,0
Port of Tampa  50th St Corridor,Citrus Park,0
Port of Tampa  50th St Corridor,Downtown,356
Port of Tampa  50th St Corridor,East Town,133
Port of Tampa  50th St Corridor,External,0
Port of Tampa  50th St Corridor,Gibsonton,122
Port of Tampa  50th St Corridor,Harney Canal,0
Port of Tampa  50th St Corridor,Hernando  Citrus,0
Port of Tampa  50th St Corridor,MacDill AFB,0
Port of Tampa  50th St Corridor,Manatee Spur,153
Port of Tampa  50th St Corridor,NE Hilsborough,0
Port of Tampa  50th St Corridor,NW Hilsborough,0
Port of Tampa  50th St Corridor,New Tampa,0
Port of Tampa  50th St Corridor,Pasco,2040
Port of Tampa  50th St Corridor,Pinellas,117
Port of Tampa  50th St Corridor,Plant City Area,0
Port of Tampa  50th St Corridor,Port of Tampa  50th St Corridor,47
Port of Tampa  50th St Corridor,SE Hillsborough,3854
Port of Tampa  50th St Corridor,SW Hillsborough,0
Port of Tampa  50th St Corridor,TPA  Anderson Rd,18240
Port of Tampa  50th St Corridor,Tampa Central,525
Port of Tampa  50th St Corridor,USF  Hosp  Busch,0
Port of Tampa  50th St Corridor,West Brandon,2218
Port of Tampa  50th St Corridor,Westshore  Rocky Point,3114
SE Hillsborough,Apollo Beach  Ruskin,38596
SE Hillsborough,CZ2,21275
SE Hillsborough,CZ4,13552
SE Hillsborough,Citrus Park,139
SE Hillsborough,Downtown,20930
SE Hillsborough,East Town,20648
SE Hillsborough,External,2292
SE Hillsborough,Gibsonton,28556
SE Hillsborough,Harney Canal,4707
SE Hillsborough,Hernando  Citrus,132
SE Hillsborough,MacDill AFB,7555
SE Hillsborough,Manatee Spur,0
SE Hillsborough,NE Hilsborough,35638
SE Hillsborough,NW Hilsborough,1173
SE Hillsborough,New Tampa,141
SE Hillsborough,Pasco,2060
SE Hillsborough,Pinellas,958
SE Hillsborough,Plant City Area,2840
SE Hillsborough,Port of Tampa  50th St Corridor,0
SE Hillsborough,SE Hillsborough,415153
SE Hillsborough,SW Hillsborough,7656
SE Hillsborough,TPA  Anderson Rd,12520
SE Hillsborough,Tampa Central,25497
SE Hillsborough,USF  Hosp  Busch,9174
SE Hillsborough,West Brandon,59646
SE Hillsborough,Westshore  Rocky Point,1667
SW Hillsborough,Apollo Beach  Ruskin,0
SW Hillsborough,CZ2,112
SW Hillsborough,CZ4,327
SW Hillsborough,Citrus Park,0
SW Hillsborough,Downtown,40734
SW Hillsborough,East Town,2116
SW Hillsborough,External,5298
SW Hillsborough,Gibsonton,1373
SW Hillsborough,Harney Canal,2
SW Hillsborough,Hernando  Citrus,24
SW Hillsborough,MacDill AFB,20021
SW Hillsborough,Manatee Spur,0
SW Hillsborough,NE Hilsborough,1114
SW Hillsborough,NW Hilsborough,23601
SW Hillsborough,New Tampa,195
SW Hillsborough,Pasco,1319
SW Hillsborough,Pinellas,17067
SW Hillsborough,Plant City Area,0
SW Hillsborough,Port of Tampa  50th St Corridor,0
SW Hillsborough,SE Hillsborough,6027
SW Hillsborough,SW Hillsborough,378281
SW Hillsborough,TPA  Anderson Rd,12364
SW Hillsborough,Tampa Central,42628
SW Hillsborough,USF  Hosp  Busch,15315
SW Hillsborough,West Brandon,314
SW Hillsborough,Westshore  Rocky Point,20658
TPA  Anderson Rd,Apollo Beach  Ruskin,0
TPA  Anderson Rd,CZ2,88
TPA  Anderson Rd,CZ4,1368
TPA  Anderson Rd,Citrus Park,147
TPA  Anderson Rd,Downtown,1188
