ROUTE_SURVEYED,TIME_ON,COUNT,CHART_TYPE
MARTA 143,PM3 5:00 pm - 6:00 pm,121.77,ROUTE SURVEYED BY TIME PERIOD
MARTA 193,MID2 10:00 am - 11:00 am,121.25,ROUTE SURVEYED BY TIME PERIOD
MARTA 51,AM5 8:00 am - 9:00 am,120.69,ROUTE SURVEYED BY TIME PERIOD
MARTA 6,AM3 6:00 am - 7:00 am,120.67,ROUTE SURVEYED BY TIME PERIOD
MARTA 181,PM1 3:00 pm - 4:00 pm,120.56,ROUTE SURVEYED BY TIME PERIOD
MARTA 125,AM4 7:00 am - 8:00 am,120.23,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,PM1 3:00 pm - 4:00 pm,120.09,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,MID1 9:00 am - 10:00 am,119.81,ROUTE SURVEYED BY TIME PERIOD
MARTA 6,AM5 8:00 am - 9:00 am,119.8,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 101,AM3 6:00 am - 7:00 am,119.69,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,AM3 6:00 am - 7:00 am,119.43,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,MID1 9:00 am - 10:00 am,118.55,ROUTE SURVEYED BY TIME PERIOD
MARTA 120,MID2 10:00 am - 11:00 am,117.71,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,PM4 6:00 pm - 7:00 pm,117.25,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,AM3 6:00 am - 7:00 am,117.19,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,AM4 7:00 am - 8:00 am,117.12,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,PM1 3:00 pm - 4:00 pm,116.82,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,PM6 8:00 pm - 9:00 pm,116.81,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,AM5 8:00 am - 9:00 am,115.65,ROUTE SURVEYED BY TIME PERIOD
SRTA 430,PM1 3:00 pm - 4:00 pm,115.57,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,PM2 4:00 pm - 5:00 pm,115.48,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,PM3 5:00 pm - 6:00 pm,114.95,ROUTE SURVEYED BY TIME PERIOD
SRTA 483,PM1 3:00 pm - 4:00 pm,114.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,PM5 7:00 pm - 8:00 pm,113.87,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,PM3 5:00 pm - 6:00 pm,113.81,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,AM3 6:00 am - 7:00 am,113.37,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,MID2 10:00 am - 11:00 am,113.34,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,MID5 1:00 pm - 2:00 pm,113.26,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,MID2 10:00 am - 11:00 am,113.03,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,AM5 8:00 am - 9:00 am,112.57,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,PM4 6:00 pm - 7:00 pm,112.03,ROUTE SURVEYED BY TIME PERIOD
MARTA 181,AM4 7:00 am - 8:00 am,111.8,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,AM3 6:00 am - 7:00 am,111.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,MID3 11:00 am - 12:00 noon,111.57,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,MID3 11:00 am - 12:00 noon,110.92,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,MID3 11:00 am - 12:00 noon,110.61,ROUTE SURVEYED BY TIME PERIOD
MARTA 51,PM1 3:00 pm - 4:00 pm,110.16,ROUTE SURVEYED BY TIME PERIOD
MARTA 181,MID3 11:00 am - 12:00 noon,109.62,ROUTE SURVEYED BY TIME PERIOD
MARTA 143,AM3 6:00 am - 7:00 am,109.58,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,MID1 9:00 am - 10:00 am,109.46,ROUTE SURVEYED BY TIME PERIOD
MARTA 165,MID1 9:00 am - 10:00 am,109.45,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,PM1 3:00 pm - 4:00 pm,109.31,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,MID3 11:00 am - 12:00 noon,109.15,ROUTE SURVEYED BY TIME PERIOD
MARTA 125,PM1 3:00 pm - 4:00 pm,108.65,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,MID2 10:00 am - 11:00 am,108.58,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,AM5 8:00 am - 9:00 am,108.36,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,MID3 11:00 am - 12:00 noon,108.2,ROUTE SURVEYED BY TIME PERIOD
MARTA 50,MID3 11:00 am - 12:00 noon,108.18,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,AM4 7:00 am - 8:00 am,107.71,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 103,AM3 6:00 am - 7:00 am,107.56,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,MID3 11:00 am - 12:00 noon,107.54,ROUTE SURVEYED BY TIME PERIOD
MARTA 3,MID2 10:00 am - 11:00 am,107.47,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,PM1 3:00 pm - 4:00 pm,107.3,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,PM5 7:00 pm - 8:00 pm,107.25,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,MID2 10:00 am - 11:00 am,107.23,ROUTE SURVEYED BY TIME PERIOD
MARTA 51,PM4 6:00 pm - 7:00 pm,106.95,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,MID6 2:00 pm - 3:00 pm,106.87,ROUTE SURVEYED BY TIME PERIOD
